"GroupNumber","FilePath","FileName","FileSize","LastModified","Hash"
"4299","C:\Users\louie\Documents\Project\Capstone\Images\00000098.jpg","00000098.jpg","10.41 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
"4300","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00004725.jpg","00004725.jpg","25.23 KB","15/10/2024 10:25:49 pm","1d55cfae27355963f91f998f1094f6bf"
"4300","C:\Users\louie\Documents\Project\Capstone\Images\00004725.jpg","00004725.jpg","25.23 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4301","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00004150.jpg","00004150.jpg","30.48 KB","15/10/2024 10:25:40 pm","1d55cfae27355963f91f998f1094f6bf"
"4301","C:\Users\louie\Documents\Project\Capstone\Images\00004150.jpg","00004150.jpg","30.48 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4302","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00003997.jpg","00003997.jpg","25.77 KB","15/10/2024 10:25:38 pm","1d55cfae27355963f91f998f1094f6bf"
"4302","C:\Users\louie\Documents\Project\Capstone\Images\00003997.jpg","00003997.jpg","25.77 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4303","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00002245.jpg","00002245.jpg","27.79 KB","15/10/2024 10:25:12 pm","1d55cfae27355963f91f998f1094f6bf"
"4303","C:\Users\louie\Documents\Project\Capstone\Images\00002245.jpg","00002245.jpg","27.79 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"4304","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00004656.jpg","00004656.jpg","19.12 KB","15/10/2024 10:25:48 pm","1d55cfae27355963f91f998f1094f6bf"
"4304","C:\Users\louie\Documents\Project\Capstone\Images\00004656.jpg","00004656.jpg","19.12 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4305","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00003620.jpg","00003620.jpg","34.61 KB","15/10/2024 10:25:33 pm","1d55cfae27355963f91f998f1094f6bf"
"4305","C:\Users\louie\Documents\Project\Capstone\Images\00003620.jpg","00003620.jpg","34.61 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4306","C:\Users\louie\Documents\GitProject\.mypy_cache\3.12\matplotlib\legend_handler.data.json","legend_handler.data.json","61.60 KB","1/2/2025 1:28:09 pm","1d55cfae27355963f91f998f1094f6bf"
"4306","C:\Users\louie\Documents\GitProject\Toto-Predictions\.mypy_cache\3.12\matplotlib\legend_handler.data.json","legend_handler.data.json","61.60 KB","3/2/2025 4:37:52 pm","1d55cfae27355963f91f998f1094f6bf"
"4307","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00004890.jpg","00004890.jpg","38.77 KB","15/10/2024 10:25:52 pm","1d55cfae27355963f91f998f1094f6bf"
"4307","C:\Users\louie\Documents\Project\Capstone\Images\00004890.jpg","00004890.jpg","38.77 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4308","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00002518.jpg","00002518.jpg","43.55 KB","15/10/2024 10:25:16 pm","1d55cfae27355963f91f998f1094f6bf"
"4308","C:\Users\louie\Documents\Project\Capstone\Images\00002518.jpg","00002518.jpg","43.55 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"4309","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00002797.jpg","00002797.jpg","27.70 KB","15/10/2024 10:25:20 pm","1d55cfae27355963f91f998f1094f6bf"
"4309","C:\Users\louie\Documents\Project\Capstone\Images\00002797.jpg","00002797.jpg","27.70 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"4310","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00002104.jpg","00002104.jpg","32.40 KB","15/10/2024 10:25:10 pm","1d55cfae27355963f91f998f1094f6bf"
"4310","C:\Users\louie\Documents\Project\Capstone\Images\00002104.jpg","00002104.jpg","32.40 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"4311","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00002528.jpg","00002528.jpg","18.97 KB","15/10/2024 10:25:17 pm","1d55cfae27355963f91f998f1094f6bf"
"4311","C:\Users\louie\Documents\Project\Capstone\Images\00002528.jpg","00002528.jpg","18.97 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"4312","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00000824.jpg","00000824.jpg","29.66 KB","15/10/2024 10:24:51 pm","1d55cfae27355963f91f998f1094f6bf"
"4312","C:\Users\louie\Documents\Project\Capstone\Images\00000824.jpg","00000824.jpg","29.66 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
"4313","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00004400.jpg","00004400.jpg","15.74 KB","15/10/2024 10:25:44 pm","1d55cfae27355963f91f998f1094f6bf"
"4313","C:\Users\louie\Documents\Project\Capstone\Images\00004400.jpg","00004400.jpg","15.74 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4314","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00002022.jpg","00002022.jpg","27.42 KB","15/10/2024 10:25:09 pm","1d55cfae27355963f91f998f1094f6bf"
"4314","C:\Users\louie\Documents\Project\Capstone\Images\00002022.jpg","00002022.jpg","27.42 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"4315","C:\Users\louie\Documents\GitProject\PCSO Predictions\.mypy_cache\3.10\PIL\_imagingcms.data.json","_imagingcms.data.json","81.28 KB","22/4/2025 5:42:16 pm","1d55cfae27355963f91f998f1094f6bf"
"4315","C:\Users\louie\Documents\GitProject\TinMBA\.mypy_cache\3.10\PIL\_imagingcms.data.json","_imagingcms.data.json","81.28 KB","19/7/2025 5:00:26 pm","1d55cfae27355963f91f998f1094f6bf"
"4316","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00001139.jpg","00001139.jpg","33.23 KB","15/10/2024 10:24:56 pm","1d55cfae27355963f91f998f1094f6bf"
"4316","C:\Users\louie\Documents\Project\Capstone\Images\00001139.jpg","00001139.jpg","33.23 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
"4317","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00001453.jpg","00001453.jpg","38.62 KB","15/10/2024 10:25:00 pm","1d55cfae27355963f91f998f1094f6bf"
"4317","C:\Users\louie\Documents\Project\Capstone\Images\00001453.jpg","00001453.jpg","38.62 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
